age,job,marital,education,default,balance,housing,loan,contact,day,duration,campaign,pdays,previous,poutcome,y
29,self-employed,married,tertiary,no,751,yes,no,unknown,23,121,2,-1,0,unknown,no
47,admin.,married,secondary,no,6695,no,no,telephone,21,129,3,-1,0,unknown,no
26,admin.,single,secondary,no,82,yes,no,unknown,5,228,1,-1,0,unknown,no
66,retired,divorced,unknown,no,53,no,no,cellular,12,562,4,-1,0,unknown,yes
36,services,divorced,secondary,no,127,no,no,cellular,18,172,3,-1,0,unknown,no
44,blue-collar,single,secondary,no,259,yes,no,unknown,6,163,2,-1,0,unknown,no
57,admin.,married,secondary,no,16873,no,no,cellular,14,219,3,372,1,failure,no
44,technician,single,unknown,no,11115,no,no,cellular,25,189,1,185,4,success,no
45,management,married,tertiary,no,4877,yes,no,cellular,8,172,2,-1,0,unknown,no
27,technician,married,unknown,no,811,yes,no,unknown,28,591,2,-1,0,unknown,no
40,technician,single,secondary,no,134,yes,yes,cellular,28,126,2,-1,0,unknown,no
35,blue-collar,married,secondary,no,0,yes,yes,cellular,13,291,8,293,1,failure,no
29,blue-collar,married,secondary,no,1,yes,no,unknown,6,215,1,-1,0,unknown,no
43,admin.,single,secondary,no,-247,yes,yes,cellular,2,751,2,76,4,failure,yes
37,self-employed,single,tertiary,no,1188,no,no,cellular,24,310,1,-1,0,unknown,yes
59,retired,married,primary,no,1085,no,no,unknown,16,191,1,-1,0,unknown,no
48,blue-collar,married,primary,yes,-50,yes,no,cellular,14,212,6,-1,0,unknown,no
35,admin.,married,secondary,no,-87,yes,no,unknown,3,1363,7,-1,0,unknown,yes
46,blue-collar,married,unknown,no,990,yes,no,cellular,9,420,1,-1,0,unknown,no
43,management,divorced,tertiary,no,99,no,no,cellular,29,24,3,-1,0,unknown,no
28,services,single,secondary,no,-358,yes,no,unknown,26,253,2,-1,0,unknown,no
34,management,married,tertiary,no,188,no,no,cellular,5,399,1,-1,0,unknown,no
33,blue-collar,married,secondary,no,681,yes,yes,cellular,21,357,1,-1,0,unknown,no
29,admin.,divorced,secondary,no,883,no,yes,cellular,8,85,1,-1,0,unknown,no
56,retired,married,unknown,no,4391,yes,no,unknown,16,291,1,-1,0,unknown,no
44,blue-collar,married,secondary,no,373,yes,no,unknown,8,122,2,-1,0,unknown,no
39,blue-collar,married,secondary,no,276,no,no,cellular,9,334,2,-1,0,unknown,yes
33,management,married,tertiary,no,1808,no,no,cellular,28,250,3,-1,0,unknown,yes
32,admin.,married,secondary,no,305,yes,no,unknown,30,200,3,-1,0,unknown,no
75,retired,married,primary,no,1413,no,no,cellular,1,532,2,188,2,success,yes
45,services,married,secondary,no,-1621,yes,yes,cellular,15,8,2,346,5,failure,no
47,services,divorced,secondary,no,28,yes,no,cellular,16,142,1,-1,0,unknown,no
38,blue-collar,married,secondary,no,2467,no,no,cellular,2,192,1,-1,0,unknown,yes
38,blue-collar,married,primary,no,132,yes,no,cellular,14,797,2,-1,0,unknown,no
31,admin.,married,secondary,no,3,yes,no,cellular,28,37,12,-1,0,unknown,no
53,blue-collar,married,secondary,no,25,no,no,cellular,22,528,2,-1,0,unknown,yes
48,management,married,primary,no,1513,no,no,cellular,29,166,2,-1,0,unknown,no
36,management,married,tertiary,no,495,no,no,cellular,12,213,3,182,6,success,yes
36,management,single,tertiary,no,1379,no,no,cellular,25,189,1,186,1,failure,yes
38,admin.,married,secondary,no,3047,yes,no,unknown,6,285,2,-1,0,unknown,no
32,services,single,secondary,no,481,yes,no,cellular,13,150,3,174,4,failure,no
33,blue-collar,married,secondary,no,467,yes,no,unknown,21,494,2,-1,0,unknown,no
29,blue-collar,married,secondary,no,1958,yes,no,cellular,18,112,4,349,1,failure,no
32,self-employed,single,tertiary,no,2559,no,no,cellular,7,889,1,-1,0,unknown,yes
31,technician,single,tertiary,no,6,no,no,cellular,8,243,2,-1,0,unknown,no
31,admin.,single,secondary,no,12,yes,no,unknown,5,208,2,-1,0,unknown,no
23,blue-collar,single,secondary,no,214,yes,no,unknown,28,44,1,-1,0,unknown,no
39,admin.,single,secondary,no,1078,no,no,unknown,3,199,3,-1,0,unknown,no
30,management,married,tertiary,no,0,no,no,cellular,21,142,2,-1,0,unknown,no
41,management,divorced,secondary,no,71,yes,no,unknown,26,60,3,-1,0,unknown,no
38,blue-collar,married,secondary,no,1556,yes,no,cellular,12,191,3,-1,0,unknown,no
32,technician,single,tertiary,no,392,yes,no,cellular,1,957,2,131,2,failure,no
39,self-employed,married,primary,no,2077,yes,no,cellular,31,88,21,-1,0,unknown,no
46,blue-collar,married,primary,no,804,yes,no,cellular,12,1063,2,361,1,success,yes
34,management,divorced,tertiary,no,0,yes,no,cellular,27,36,7,-1,0,unknown,no
35,blue-collar,married,secondary,no,162,no,yes,cellular,22,675,2,-1,0,unknown,no
57,services,single,primary,no,3777,yes,no,telephone,13,65,2,-1,0,unknown,no
39,unemployed,married,primary,no,408,yes,no,unknown,6,53,1,-1,0,unknown,no
33,admin.,single,secondary,no,3160,no,no,unknown,18,719,13,-1,0,unknown,no
38,technician,divorced,tertiary,no,348,no,no,unknown,20,446,1,-1,0,unknown,no
20,student,single,secondary,no,153,no,no,unknown,21,100,1,-1,0,unknown,yes
36,unemployed,single,tertiary,no,1316,yes,no,unknown,30,265,2,-1,0,unknown,no
47,blue-collar,married,primary,no,206,yes,yes,cellular,7,118,1,-1,0,unknown,no
76,retired,married,secondary,no,820,no,no,telephone,23,263,4,-1,0,unknown,yes
31,entrepreneur,single,tertiary,no,38,no,no,cellular,20,185,2,-1,0,unknown,no
36,self-employed,single,tertiary,no,577,yes,no,cellular,15,33,1,298,1,failure,no
48,technician,married,unknown,no,74,no,no,unknown,12,181,1,-1,0,unknown,no
40,technician,married,tertiary,no,84,no,no,cellular,28,715,8,-1,0,unknown,no
30,blue-collar,married,primary,no,307,yes,yes,cellular,8,117,2,-1,0,unknown,no
29,blue-collar,single,secondary,no,-20,yes,no,unknown,29,814,2,-1,0,unknown,yes
32,blue-collar,married,primary,no,159,yes,no,unknown,21,207,3,-1,0,unknown,no
47,blue-collar,single,unknown,no,2443,no,no,unknown,18,422,1,-1,0,unknown,no
24,services,married,secondary,no,4500,yes,no,cellular,11,733,2,-1,0,unknown,yes
49,blue-collar,married,secondary,no,366,yes,yes,unknown,30,191,3,-1,0,unknown,no
53,admin.,single,secondary,no,1958,no,no,telephone,23,164,4,-1,0,unknown,no
25,management,single,tertiary,no,219,no,no,cellular,30,458,1,-1,0,unknown,yes
58,technician,married,tertiary,no,855,yes,no,telephone,18,263,2,-1,0,unknown,no
26,technician,single,secondary,no,668,yes,no,unknown,28,576,3,-1,0,unknown,yes
40,unemployed,married,primary,no,400,no,no,unknown,9,317,1,-1,0,unknown,no
29,blue-collar,single,secondary,no,260,yes,no,unknown,2,707,14,-1,0,unknown,yes
33,unknown,single,secondary,no,9,no,no,cellular,19,238,1,-1,0,unknown,no
34,management,married,tertiary,no,1433,no,no,cellular,20,111,3,104,3,failure,no
36,management,married,tertiary,no,105,no,no,cellular,28,76,1,-1,0,unknown,no
35,technician,divorced,secondary,no,515,yes,yes,cellular,29,114,3,-1,0,unknown,no
46,blue-collar,married,primary,no,588,yes,no,cellular,26,260,4,-1,0,unknown,no
65,retired,divorced,unknown,no,300,no,no,cellular,2,245,2,-1,0,unknown,no
52,unemployed,married,primary,no,20,yes,no,telephone,28,172,1,-1,0,unknown,no
28,management,married,secondary,no,3,yes,no,cellular,14,112,2,24,2,other,no
33,management,single,tertiary,no,1909,no,no,cellular,8,191,2,-1,0,unknown,no
43,admin.,married,secondary,no,24,yes,no,cellular,7,183,4,357,2,other,no
39,services,married,secondary,no,52,no,no,telephone,2,1420,3,-1,0,unknown,yes
30,admin.,single,secondary,no,223,yes,no,unknown,6,862,11,-1,0,unknown,yes
43,technician,married,secondary,no,310,yes,no,unknown,29,291,1,-1,0,unknown,no
32,blue-collar,married,primary,no,2114,yes,no,telephone,17,40,1,-1,0,unknown,no
